20,0,0,5,0,1,4,8,6,0,0,1,3,0,1,0,1,0,13,0,1,2,13,1,4,3,0,1,1,3,0,4,3,40,4,1,1,1,2,1,0,5,12,1,1,0,0,2,5,4,4,2,15,10,0,14,0,3,0,0,0,2,0,0,7,2,2,0,2,0,2,4,1,1,2,4,1,0,0,3,0,1,0,0,1,4,0,3,0,4,13,5,0,3,0,0,2,2,5,1,1,0,0,1,0
0,0,0,0,0,2,0,0,1,1,0,8,1,0,0,0,5,0,1,0,0,0,9,1,3,1,0,0,7,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,3,26,2,0,0,1,0,2,0,3,0,5,0,1,21,0,1,0,0,2,1,0,0,9,1,0,3,3,0,1,0,3,4,0,0,2,0,0,0,0,1,4,0,0,0,1,4,1,0,5,1,0,1,0,1,0,1,0,0,0,1
8,0,1,0,0,0,1,0,2,0,0,5,0,5,1,0,0,0,1,0,0,0,0,3,2,0,0,2,5,2,4,1,1,1,0,0,1,0,0,0,0,0,0,0,3,0,2,1,0,3,4,0,2,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,2,2,15,0,4,2,3,0,0,0,7,0,0,1,0,0,1,0,3,1,4,0,0,0,0,1,0,0,0,1
3,0,0,0,4,0,0,0,0,1,0,1,0,5,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,0,2,0,2,0,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,1,0,2,0,1,1,1,0,0,0,0
4,0,0,0,13,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,13,0,1,0,1,0,1,0,0,0,1
0,0,0,1,2,0,0,1,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,42,0,0,0,0,2,1,0,1,0,0,0,5,4,0,3,0,1,50,9,0,11,0,0,2,0,0,0,0,0,1,0,2,16,0,19,0,1,0,1,0,2,0,0,0,5,0,1,0,0,31,2,1,3,0,5,8,3,0,1,1,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,1
10,0,0,0,0,1,2,0,0,0,0,4,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
9,0,0,0,0,0,0,0,5,0,0,1,0,0,4,1,1,0,32,0,0,0,10,1,4,4,0,0,1,2,0,0,3,0,2,0,0,0,1,1,0,0,8,0,2,0,0,0,5,2,3,6,32,1,0,2,0,0,0,1,3,1,2,2,2,1,0,1,2,0,1,0,5,0,0,14,1,2,0,0,0,0,0,0,1,1,0,0,4,0,4,1,0,6,0,0,2,2,2,0,1,0,0,1,1
15,0,0,2,2,0,1,1,0,1,0,2,1,1,4,0,3,0,6,0,0,1,5,1,1,0,0,0,3,0,3,4,1,0,2,1,0,1,1,11,0,2,2,7,6,2,1,2,0,3,6,2,0,9,0,0,69,3,5,2,0,0,1,1,4,3,0,0,0,3,0,10,0,20,0,0,3,0,0,9,0,5,0,0,6,12,0,0,27,1,5,1,0,6,2,8,3,2,1,0,1,0,0,0,1
30,0,0,0,21,1,3,1,2,4,0,3,1,2,5,0,0,0,4,0,0,0,0,6,8,0,0,1,3,6,5,5,2,0,0,0,0,0,0,18,0,0,0,0,2,20,9,5,0,11,6,0,0,14,0,0,0,20,0,15,0,1,2,1,0,1,0,0,1,0,1,2,2,0,0,5,0,0,0,4,0,0,0,0,6,21,0,0,0,0,3,1,0,8,1,3,6,1,3,2,1,0,0,0,0
1,0,0,0,4,0,0,6,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,2,2,0,0,3,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
8,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,3,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,2,1,0,1,0,0,0,3,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,5,1,0,0,1,0,1,1,2,0,0,0,0,2,0,1,0,0,0,1
5,0,0,1,0,0,0,0,1,0,0,3,2,3,0,0,1,0,0,1,0,0,0,0,2,1,1,3,13,1,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,3,3,1,0,0,2,1,0,2,0,0,0,2,0,1,0,0,17,0,1,1,0,1,0,1,3,0,2,0,0,1,0,2,0,2,0,0,0,0,0,5,1,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,11,0,0,5,1,1,0,0,0,2,0,4,0,1,0,0,0,0,2,1,1,0,0,4,0,21,0,9,0,0,0,0,32,2,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,7,8,2,0,0,0,6,4,0,2,0,1,0,0,0,1
4,0,0,0,4,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,3,0,0,2,0,0,1,1,0,0,0,0,2,0,0,6,0,0,0,2,6,12,3,0,0,2,0,0,0,3,0,0,0,13,0,3,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,2,0,3,0,0,1,0,2,0,0,1,8,0,2,1,2,0,1,0,0,0,1
26,0,0,0,70,0,1,0,6,3,0,3,1,5,1,0,6,0,3,0,1,0,3,6,12,0,0,0,3,0,6,3,0,0,2,0,18,2,2,15,0,2,1,0,4,0,10,3,0,12,2,0,0,10,0,6,0,19,0,9,0,0,1,0,2,0,0,0,3,1,2,3,5,0,0,2,1,1,0,9,0,11,0,1,5,14,0,0,0,1,5,2,0,3,20,5,4,5,15,0,1,0,0,0,0
12,0,0,0,0,1,0,0,0,5,0,3,2,1,0,0,0,0,0,0,0,3,0,0,3,0,0,3,1,4,2,1,1,0,0,0,26,16,1,3,0,1,0,0,2,9,1,0,0,6,2,0,1,1,0,0,0,38,0,1,26,0,18,0,22,0,1,0,1,1,2,3,0,0,0,8,0,7,0,0,0,6,0,0,0,3,0,0,0,0,4,0,0,2,26,0,1,1,2,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,21,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,0,4,2,23,0,1,0,1,0,0,4,2,2,3,0,0,0,37,0,0,0,3,2,2,0,0,0,1,0,2,3,0,0,4,0,0,0,3,2,0,0,12,1,7,19,1,1,12,4,2,3,0,5,0,4,7,4,1,4,0,0,1,0,11,0,1,2,0,0,0,5,2,0,0,3,0,5,0,1,0,0,3,0,4,10,1,1,14,9,5,8,1,2,11,3,2,0,3,0,1,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,16,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,1,0,2,0,0,1,4,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1,0,0,0,1
5,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,5,0,0,0,2,0,4,2,0,5,1,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,1,4,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,14,0,0,3,1,3,4,1,1,0,1,0,1,0,0,1,0
33,0,0,5,1,0,2,1,3,2,0,7,0,0,5,0,0,0,1,0,0,0,10,15,6,0,0,3,6,5,2,3,4,1,1,0,0,3,0,10,0,0,3,3,8,16,6,2,0,4,4,2,0,5,0,4,120,2,0,5,0,0,5,0,10,11,0,0,0,0,2,3,3,28,0,5,1,4,0,12,0,11,1,0,10,9,1,0,1,1,3,1,0,2,0,6,14,5,4,0,1,0,0,0,1
